Title,Audience,Year
서울의 봄,13120000,2023
범죄도시3,10680000,2023
엘리멘탈,7240000,2023
스즈메의 문단속,5570000,2023
밀수,5140000,2023
더 퍼스트 슬램덩크,4880000,2023
가디언즈 오브 갤럭시: Volume 3,4200000,2023
미션 임파서블: 데드 레코닝 PART ONE,4020000,2023
콘크리트 유토피아,3840000,2023
아바타: 물의 길,10800000,2023
노량: 죽음의 바다,4570000,2023
오펜하이머,3230000,2023
슈퍼 마리오 브라더스,2390000,2023
30일,2160000,2023
그대들은 어떻게 살 것인가,2010000,2023
존 윅 4,1920000,2023
천박사 퇴마 연구소: 설경의 비밀,1910000,2023
영웅,3270000,2023
분노의 질주: 라이드 오어 다이,1770000,2023
교섭,1720000,2023
앤트맨과 와스프: 퀀텀매니아,1550000,2023
잠,1470000,2023
달짝지근해: 7510,1380000,2023
드림,1120000,2023
비공식작전,1050000,2023
1947 보스톤,1020000,2023
스파이더맨: 어크로스 더 유니버스,920000,2023
인디아나 존스: 운명의 다이얼,860000,2023
장화신은 고양이: 끝내주는 모험,830000,2023
명탐정 코난: 흑철의 어영,800000,2023
범죄도시2,12690000,2022
탑건: 매버릭,8230000,2022
아바타: 물의 길,10800000,2022
한산: 용의 출현,7260000,2022
공조2: 인터내셔날,6980000,2022
닥터 스트레인지: 대혼돈의 멀티버스,5880000,2022
헌트,4350000,2022
올빼미,3320000,2022
쥬라기 월드: 도미니언,2830000,2022
마녀(魔女) Part2. The Other One,2800000,2022
토르: 러브 앤 썬더,2710000,2022
미니언즈2,2260000,2022
블랙 팬서: 와칸다 포에버,2100000,2022
비상선언,2050000,2022
육사오(6/45),1980000,2022
헤어질 결심,1900000,2022
외계+인 1부,1540000,2022
영웅,3270000,2022
해적: 도깨비 깃발,1330000,2022
브로커,1260000,2022
신비한 동물들과 덤블도어의 비밀,1190000,2022
인생은 아름다워,1170000,2022
더 배트맨,910000,2022
데시벨,900000,2022
정직한 후보 2,900000,2022
씽2게더,880000,2022
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,830000,2022
블랙 아담,770000,2022
킹메이커,780000,2022
모가디슈,3610000,2021
이터널스,3050000,2021
블랙 위도우,2960000,2021
분노의 질주: 더 얼티메이트,2290000,2021
싱크홀,2190000,2021
극장판 귀멸의 칼날: 무한열차편,2180000,2021
베놈 2: 렛 데어 비 카니지,2120000,2021
소울,2040000,2021
크루엘라,1980000,2021
샹치와 텐 링즈의 전설,1740000,2021
인질,1630000,2021
듄,1660000,2021
보이스,1420000,2021
007 노 타임 투 다이,1220000,2021
미나리,1130000,2021
발신제한,950000,2021
보스 베이비 2,920000,2021
콰이어트 플레이스 2,860000,2021
랑종,830000,2021
유체이탈자,810000,2021
컨저링 3: 악마가 시켰다,790000,2021
기적,710000,2021
고질라 VS. 콩,700000,2021
킹스맨: 퍼스트 에이전트,1020000,2021
엔칸토: 마법의 세계,630000,2021
연애 빠진 로맨스,600000,2021
장르만 로맨스,510000,2021
미션 파서블,440000,2021
더 수어사이드 스쿼드,410000,2021
남산의 부장들,4750000,2020
다만 악에서 구하소서,4350000,2020
반도,3810000,2020
히트맨,2400000,2020
테넷,2000000,2020
백두산,8250000,2020
#살아있다,1900000,2020
강철비2: 정상회담,1790000,2020
담보,1710000,2020
닥터 두리틀,1600000,2020
삼진그룹 영어토익반,1570000,2020
정직한 후보,1530000,2020
도굴,1540000,2020
클로젯,1270000,2020
오케이 마담,1220000,2020
해치지않아,1220000,2020
천문: 하늘에 묻는다,2000000,2020
결백,890000,2020
1917,880000,2020
작은 아씨들,860000,2020
미드웨이,950000,2020
시동,3310000,2020
지푸라기라도 잡고 싶은 짐승들,620000,2020
미스터 주: 사라진 VIP,600000,2020
인비저블맨,570000,2020
나쁜 녀석들 : 포에버,540000,2020
국제수사,530000,2020
침입자,530000,2020
스타워즈: 라이즈 오브 스카이워커,500000,2020
스파이 지니어스,450000,2020
